reset_seed,controller,failure,first_failure_step
51000000,shortcut,False,-1
51000001,shortcut,True,4
51000002,shortcut,False,-1
51000003,shortcut,True,3
51000004,shortcut,False,-1
51000005,shortcut,True,4
51000006,shortcut,True,4
51000007,shortcut,True,4
51000008,shortcut,True,4
51000009,shortcut,True,3
51000010,shortcut,False,-1
51000011,shortcut,True,3
51000012,shortcut,True,5
51000013,shortcut,False,-1
51000014,shortcut,False,-1
51000015,shortcut,True,3
51000016,shortcut,True,5
51000017,shortcut,True,4
51000018,shortcut,True,5
51000019,shortcut,False,-1
51000020,shortcut,True,3
51000021,shortcut,True,3
51000022,shortcut,True,3
51000023,shortcut,True,3
51000024,shortcut,False,-1
51000025,shortcut,False,-1
51000026,shortcut,True,3
51000027,shortcut,False,-1
51000028,shortcut,True,3
51000029,shortcut,True,3
51000030,shortcut,True,3
51000031,shortcut,True,5
51000032,shortcut,False,-1
51000033,shortcut,True,5
51000034,shortcut,True,5
51000035,shortcut,True,3
51000036,shortcut,True,4
51000037,shortcut,True,3
51000038,shortcut,False,-1
51000039,shortcut,True,3
51000040,shortcut,False,-1
51000041,shortcut,True,3
51000042,shortcut,False,-1
51000043,shortcut,False,-1
51000044,shortcut,True,5
51000045,shortcut,False,-1
51000046,shortcut,False,-1
51000047,shortcut,True,3
51000048,shortcut,True,3
51000049,shortcut,False,-1
51000050,shortcut,True,3
51000051,shortcut,False,-1
51000052,shortcut,True,3
51000053,shortcut,True,3
51000054,shortcut,True,4
51000055,shortcut,True,5
51000056,shortcut,False,-1
51000057,shortcut,False,-1
51000058,shortcut,False,-1
51000059,shortcut,False,-1
51000060,shortcut,True,3
51000061,shortcut,True,3
51000062,shortcut,True,4
51000063,shortcut,False,-1
51000064,shortcut,True,3
51000065,shortcut,False,-1
51000066,shortcut,False,-1
51000067,shortcut,False,-1
51000068,shortcut,True,4
51000069,shortcut,True,4
51000070,shortcut,True,3
51000071,shortcut,True,4
51000072,shortcut,True,4
51000073,shortcut,False,-1
51000074,shortcut,True,3
51000075,shortcut,True,3
51000076,shortcut,True,4
51000077,shortcut,True,4
51000078,shortcut,False,-1
51000079,shortcut,True,5
51000080,shortcut,True,5
51000081,shortcut,False,-1
51000082,shortcut,False,-1
51000083,shortcut,True,4
51000084,shortcut,True,5
